ISO3 Code,Country,Cereal Availability (kg/person/yr),Cereal Yield (kg/ha),GDP per Capita (USD),Rural Electricity Access (%),Post-Harvest Loss (%),Trade % GDP,Fertiliser Efficiency,Rural Population (%),Availability Band
SAU,Saudi Arabia,606.63365,4727.5,24922.6716948944,100.0,1.66,50.88,40.28,16.0283650013462,Very High
SEN,Senegal,546.3064499999999,1854.7,1414.5395109385,43.4,12.15,69.38,209.83,47.7739707808845,Very High
SLB,Solomon Islands,266.5376,1896.1,1880.5519827183,75.4,9.0,67.42,171.02,71.3110603179422,Very Low
SLE,Sierra Leone,442.55155,1967.5,1045.7661615758,4.9,14.8,42.14,737.99,56.2654614026301,High
SLV,El Salvador,465.41515,2950.3,4247.54750394978,94.1,3.41,81.85,32.0,26.3161468505859,High
SRB,Serbia,653.40475,5770.0,7465.67601077148,100.0,3.35,112.34,76.95,38.636100769043,Very High
STP,Sao Tome and Principe,385.3889,2003.8,1428.28676097975,73.7,9.0,,40.69,31.8261032104492,Medium
SUR,Suriname,380.03435,4638.3,6973.89941868115,97.5,13.25,,26.43,34.0146026611328,Medium
SVK,Slovak Republic,293.64615000000003,5976.8,18808.4540496595,100.0,4.71,181.98,44.44,46.8098520129395,Very Low
SVN,Slovenia,400.8284,6864.8,24665.4410464026,100.0,16.57,161.79,27.57,44.6953710570412,Medium
SWE,Sweden,319.94805,5064.7,53997.1337068799,100.0,3.62,91.11,44.86,11.8258348041685,Low
SWZ,Eswatini,450.70565,1438.5,3719.03838239806,79.1,16.1,89.93,15.78,74.9843819474827,High
SYR,Syrian Arab Republic,448.585,820.4,734.334236323426,74.5,3.63,61.22,206.37,26.9874992370605,High
THA,Thailand,505.0067,3062.0,6121.52696529713,100.0,4.94,117.25,20.74,41.4912223815918,Very High
TJK,Tajikistan,484.53385,3885.1,1254.06999592306,99.8,2.38,71.83,42.99,73.8008474848625,High
TKM,Turkmenistan,455.31925,2121.4,7248.70763225719,100.0,4.25,33.06,7.83,52.9418589698289,High
TLS,Timor-Leste,486.8151,1201.9,2015.82035757039,100.0,1.87,99.86,957.91,71.2072628265528,High
TTO,Trinidad and Tobago,416.94315,1594.1,15558.0940536829,100.0,1.19,,12.47,46.0578721146152,High
TUN,Tunisia,591.3036500000001,1451.5,3902.53322990199,99.7,4.47,93.63,21.18,30.6002476229432,Very High
TUR,Turkiye,517.28895,2918.5,13670.938029516,100.0,6.67,69.61,22.53,10.8237951846761,Very High
TZA,Tanzania,378.69845,1782.3,1054.31726074219,23.3,11.15,29.92,179.56,65.6499888241381,Medium
UGA,Uganda,290.9634,1908.1,919.401675217265,35.9,13.4,41.71,781.22,70.7637042210978,Very Low
UKR,Ukraine,360.52875,5454.6,2426.6123046875,100.0,6.14,82.7,69.5,30.5972967346104,Low
URY,Uruguay,386.20285,5496.8,17416.0052208869,100.0,6.22,58.32,26.04,4.5502853393555,Medium
USA,United States,295.5259,8246.5,62680.2503585805,100.0,5.9,25.61,63.15,19.9925234859728,Very Low
UZB,Uzbekistan,475.01830000000007,4774.4,3442.7248445034,99.8,3.4,57.46,16.08,49.0730094909668,High
VCT,St. Vincent and the Grenadines,256.13875,14472.7,8211.33588012942,100.0,7.14,,156.46,52.5445899260951,Very Low
VEN,"Venezuela, RB",389.6156,3942.0,1276.62381449407,99.9,1.21,29.23,77.47,10.8233555253109,Medium
VNM,Viet Nam,596.2420999999999,5947.1,3358.21734764714,100.0,7.9,186.68,12.93,63.3459343573397,Very High
VUT,Vanuatu,368.8982,627.1,2666.30269843855,60.7,9.0,59.95,11.68,77.7498177577525,Medium
ZAF,South Africa,419.6478,5493.8,5750.90937479584,93.4,7.1,56.16,52.5,36.5496074116091,High
ZMB,Zambia,343.8373,2525.0,1269.10821808895,14.5,10.483333333333333,86.21,39.51,55.7646268589074,Low
ZWE,Zimbabwe,365.81395,1545.5,1312.20001358807,31.6,12.766666666666666,44.11,41.92,62.1307941140627,Low
