country_code,country_name,cereal_yield_kg_per_ha,fertiliser_kg_per_ha,arable_land_pct,population_total,gdp_per_capita_usd,internet_users_pct,stunting_pct_children,irrigated_land_pct,account_ownership_pct,bank_branches_per_100k,atm_per_100k,cereal_loss_pct,fertiliser_efficiency
NZL,New Zealand,8809.4,1445.04545454545,2.33944779917208,5084600,41490.1148198326,91.99060059,,,98.7523814505022,17.6807872557464,53.7418744963206,,6.1
OMN,Oman,25977.8,380.136619341013,0.241227786752827,4500424,18291.3387983888,95.23880005,,7.3044972787167,,16.8863758363514,50.3570456515165,,68.34
PAK,Pakistan,3489.4,161.930184940555,39.2797841427978,239477801,1595.02792175422,,,54.0623091020159,20.9806311316514,10.4692959746931,11.4506425634055,3.81,21.55
PAN,Panama,3515.9,123.909734513274,7.61660825020221,4345405,14552.9401400295,66.04270172,,1.89569049142811,44.9670337532433,19.6428989671083,73.3876193524713,,28.37
PER,Peru,4703.6,111.824219121478,3.35179375,33155882,6547.84718181776,71.10782643,11.5,,57.4978561461709,5.40700212008432,118.611831317799,,42.06
PHL,Philippines,3832.9,232.025402504472,18.7476942683704,113100950,3350.97587587776,66.90779877,26.7,,51.3717638928697,8.99353408601811,29.100761529216,16.4,16.52
PNG,Papua New Guinea,4817.3,108.212121212121,0.728702027116548,10012896,2378.3716816549,16.55960083,,,,1.41350378550142,7.20579647174091,,44.52
POL,Poland,4562.5,156.061016337215,36.1940542306436,36981559,16368.6239689025,85.37490906,,,95.7201672270221,23.2613779081144,66.976240307094,0.5,29.24
PRI,Puerto Rico (US),3410.5,48.9243027888446,5.65952649379932,3262711,28416.6231262223,84.78666399,,,,,,,69.71
PRT,Portugal,5379.7,184.54629978464,10.564565921734,10361831,20747.6990734163,82.30902804,,14.5316572173883,92.6495073207262,30.6930857365021,162.77581318023,,29.15
PRY,Paraguay,3823.1,149.331574882126,11.1639020891014,6684182,6278.11006663809,77.01838621,,,54.419977087987,10.4028837213994,28.0142303042938,,25.6
PSE,West Bank and Gaza,2922.9,216.109785202864,6.95435684647303,4922749,3051.48607007995,,,,33.6425508866377,13.0836361427438,23.6974021973165,,13.53
